epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3522.45,0.68533,0.33391,0.82377,0.99143,0.98895,0.9893,0.84933,0.68467,0.33774,0.79834,0.000742625,0.000742625,0.000742625
43,3606.43,0.65471,0.32114,0.82107,0.99107,0.98874,0.98826,0.85131,0.68431,0.34434,0.79853,0.00073025,0.00073025,0.00073025
44,3688.79,0.6631,0.32303,0.8201,0.99114,0.98786,0.99125,0.85895,0.69497,0.33377,0.8002,0.000717875,0.000717875,0.000717875
45,3773.42,0.66358,0.31628,0.81896,0.99129,0.98839,0.9919,0.86094,0.66646,0.34016,0.7975,0.0007055,0.0007055,0.0007055
46,3856.07,0.65995,0.31771,0.81971,0.99052,0.98874,0.99027,0.85166,0.67805,0.34071,0.79665,0.000693125,0.000693125,0.000693125
47,3939.28,0.66421,0.31309,0.82057,0.99023,0.98886,0.98817,0.85778,0.67602,0.33329,0.7975,0.00068075,0.00068075,0.00068075
48,4021.99,0.66197,0.31931,0.81879,0.99124,0.98833,0.98848,0.86088,0.67161,0.32835,0.79433,0.000668375,0.000668375,0.000668375
49,4105.39,0.67699,0.3314,0.81895,0.99103,0.98819,0.98984,0.8631,0.66836,0.33736,0.79443,0.000656,0.000656,0.000656
50,4188.12,0.66868,0.31611,0.82469,0.99116,0.98786,0.98762,0.85811,0.68683,0.34161,0.79713,0.000643625,0.000643625,0.000643625
51,4272.55,0.6782,0.31956,0.82044,0.99061,0.98786,0.98862,0.86,0.66933,0.33237,0.79645,0.00063125,0.00063125,0.00063125
52,4358.28,0.66135,0.30959,0.82014,0.98911,0.98884,0.98785,0.86078,0.66874,0.33142,0.79631,0.000618875,0.000618875,0.000618875
53,4447.98,0.65943,0.31536,0.82437,0.9907,0.98967,0.99044,0.85146,0.6652,0.33296,0.79583,0.0006065,0.0006065,0.0006065
54,4538.32,0.6581,0.31058,0.81734,0.99055,0.98818,0.99023,0.85925,0.67397,0.32877,0.79572,0.000594125,0.000594125,0.000594125
55,4628.95,0.64401,0.30978,0.81556,0.98927,0.98887,0.99063,0.86477,0.66186,0.33068,0.79359,0.00058175,0.00058175,0.00058175
56,4720.61,0.65838,0.31301,0.81716,0.98946,0.98876,0.99054,0.85474,0.67345,0.33843,0.79563,0.000569375,0.000569375,0.000569375
57,4812.56,0.65515,0.31516,0.81771,0.98983,0.98853,0.98757,0.85771,0.66112,0.32633,0.79434,0.000557,0.000557,0.000557
58,4900.33,0.65229,0.30893,0.81762,0.99011,0.98853,0.98765,0.86067,0.68083,0.33039,0.79657,0.000544625,0.000544625,0.000544625
59,4984.61,0.64255,0.30384,0.8165,0.99036,0.98826,0.98779,0.85811,0.66016,0.32838,0.79414,0.00053225,0.00053225,0.00053225
60,5077.81,0.65129,0.30458,0.81966,0.99015,0.98896,0.98766,0.8586,0.66231,0.32251,0.79601,0.000519875,0.000519875,0.000519875
61,5170.8,0.64738,0.30572,0.82132,0.98954,0.98831,0.98817,0.86117,0.65618,0.32462,0.79365,0.0005075,0.0005075,0.0005075
62,5259.6,0.6425,0.30573,0.81448,0.98788,0.99169,0.98895,0.86114,0.66721,0.33018,0.79472,0.000495125,0.000495125,0.000495125
